Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,NUTCH-414,12358437,,parse-mp3 plugin concatenating previous tags for text field,,bwhitman,Major,Closed,Won't Fix,12/Dec/06 15:29,01/Apr/11 15:03,
Bug,,NUTCH-496,12370854,,ConcurrentModificationException can be thrown when getSorted() is called.,,acidblue,Major,Closed,Won't Fix,04/Jun/07 16:33,01/Apr/11 15:03,
Bug,,NUTCH-424,12359612,,NekoHTML's DOMFragmentParser hangs on certain URLs (CLONE: Problem persists with Nutch 0.9 and 0.8.1 (Nekohtml 0.9.4)),,karstendausb,Major,Closed,Won't Fix,01/Jan/07 21:26,01/Apr/11 15:03,
Bug,,NUTCH-709,12416003,,JSParseFilter gets into an infinate loop and ets all the stack ,,tshawkins,Major,Closed,Won't Fix,03/Mar/09 13:26,01/Apr/11 15:03,
Bug,,NUTCH-289,12343584,,CrawlDatum should store IP address,,cutting,Major,Closed,Won't Fix,27/May/06 03:36,01/Apr/11 15:03,
Bug,,NUTCH-568,12380804,,"Indexer does not update the Lucene ""TITLE"" field",,smorales,Major,Closed,Won't Fix,19/Oct/07 19:29,01/Apr/11 14:58,
Bug,,NUTCH-224,12329850,,Nutch doesn't handle Korean text at all,,tkurosaka,Major,Closed,Won't Fix,07/Mar/06 06:56,01/Apr/11 14:58,
New Feature,,NUTCH-441,12362172,,Thai Analyzer Plugin,,veer,Major,Closed,Won't Fix,07/Feb/07 08:59,01/Apr/11 14:58,
Bug,,NUTCH-472,12367920,,NullPointerException in ZipTextExtractor if no MIME type for zipped file,,adb,Major,Closed,Won't Fix,24/Apr/07 11:55,01/Apr/11 14:58,
Improvement,,NUTCH-272,12343272,,Max. pages to crawl/fetch per site (emergency limit),,neufeind,Major,Closed,Won't Fix,19/May/06 22:06,01/Apr/11 14:56,
Bug,,NUTCH-164,12327223,,Locale (language) choice by first session has global effect to all sessions,,tkurosaka,Major,Closed,Won't Fix,05/Jan/06 03:51,01/Apr/11 14:56,
Bug,,NUTCH-129,12326031,,rtf-parser does not work when opened with wordpad files and saved,,rrprabhu,Major,Closed,Won't Fix,25/Nov/05 21:56,01/Apr/11 14:56,
Bug,,NUTCH-283,12343480,,"If the Fetcher times out and abandons Fetcher Threads, severe errors will occur on those Threads",,scottganyo,Major,Closed,Won't Fix,25/May/06 00:10,01/Apr/11 14:56,
New Feature,,NUTCH-343,12347391,,Index MP3 SHA1 hashes,,hdiwan,Major,Closed,Won't Fix,06/Aug/06 20:57,01/Apr/11 14:40,
Bug,,NUTCH-316,12345278,,Confusion about query languages,,tkurosaka,Major,Closed,Won't Fix,01/Jul/06 06:33,01/Apr/11 14:40,
Bug,,NUTCH-290,12343614,,parse-pdf: Garbage indexed when text-extraction not allowed,,neufeind,Major,Closed,Won't Fix,28/May/06 20:34,01/Apr/11 14:40,
Improvement,,NUTCH-83,12313426,,Release deliverable as zip,,ajbanck@informatica.com,Major,Closed,Won't Fix,16/Aug/05 04:10,01/Apr/11 14:28,
Sub-task,Patch Available,NUTCH-953,12494840,12494395,Fix crawl command ,jnioche,jnioche,Major,Closed,Fixed,06/Jan/11 13:15,06/Jan/11 13:17,
Improvement,,NUTCH-901,12473556,,Make index-more plug-in configurable,chrismattmann,markus17,Major,Closed,Fixed,08/Sep/10 10:42,04/Jan/11 20:32,
Bug,,NUTCH-949,12493876,,Conflicting ANT jars in classpath ,jnioche,jnioche,Major,Closed,Fixed,22/Dec/10 14:50,22/Dec/10 16:46,
Bug,,NUTCH-938,12480702,,Imposible to fetch sites with robots.txt ,,eberlanga,Major,Closed,Won't Fix,23/Nov/10 17:50,30/Nov/10 09:34,
Bug,,NUTCH-927,12478539,,Sub pages are not getting crawled,,rameezraja,Major,Closed,Not A Problem,28/Oct/10 03:58,28/Oct/10 08:10,
Bug,,NUTCH-928,12478541,,Segmentation,,rameezraja,Major,Closed,Not A Problem,28/Oct/10 05:06,28/Oct/10 08:09,
Bug,,NUTCH-913,12477240,,Nutch should use new namespace for Gora,dogacan,dogacan,Major,Closed,Fixed,13/Oct/10 14:13,26/Oct/10 11:18,
Improvement,,NUTCH-894,12472676,,Move statistical language identification from indexing to parsing step,dogacan,jnioche,Major,Closed,Fixed,27/Aug/10 08:46,01/Oct/10 18:30,
New Feature,Patch Available,NUTCH-766,12441046,,Tika parser,chrismattmann,jnioche,Major,Closed,Fixed,18/Nov/09 14:49,28/Sep/10 00:48,
Bug,Patch Available,NUTCH-904,12473596,,"""-resume"" option is always processed  as ""false"" in FetcherJob.",,fberksoz@gmail.com,Major,Closed,Fixed,08/Sep/10 15:52,14/Sep/10 13:45,
Improvement,,NUTCH-407,12356562,,Make Nutch crawling parent directories for file protocol configurable,ab,thorsten,Major,Closed,Invalid,24/Nov/06 13:23,11/Sep/10 03:49,
Bug,,NUTCH-898,12473393,,Multi valued subcollection is not multi valued,,markus17,Major,Closed,Won't Fix,06/Sep/10 16:43,07/Sep/10 11:15,
Bug,,NUTCH-889,12471823,,remove gora jars from lib dir,jnioche,jnioche,Major,Closed,Fixed,17/Aug/10 17:03,18/Aug/10 09:05,
Improvement,Patch Available,NUTCH-883,12471278,,Remove unused parameters from nutch-default.xml,jnioche,jnioche,Major,Closed,Fixed,11/Aug/10 12:22,12/Aug/10 18:24,
Test,,NUTCH-885,12471378,,Error JAVA_HOME is Not Set,,somehanu,Major,Closed,Invalid,12/Aug/10 06:32,12/Aug/10 07:49,
New Feature,,NUTCH-811,12461973,,Develop an ORM framework ,enis,enis,Major,Closed,Fixed,13/Apr/10 18:34,11/Aug/10 21:00,
Wish,Patch Available,NUTCH-861,12470023,,Rename HTMLParserFilter ,jnioche,jnioche,Major,Closed,Fixed,23/Jul/10 15:43,11/Aug/10 09:58,
New Feature,,NUTCH-851,12469173,,Port logging to slf4j,jnioche,jnioche,Major,Closed,Fixed,13/Jul/10 16:10,10/Aug/10 08:46,
Bug,Patch Available,NUTCH-870,12470642,,Injector should add the metadata before calling injectedScore,chrismattmann,jnioche,Major,Closed,Fixed,02/Aug/10 12:26,10/Aug/10 08:28,
Improvement,,NUTCH-869,12470632,,Add back parse-html,jnioche,ab,Major,Closed,Fixed,02/Aug/10 10:31,04/Aug/10 10:29,
Bug,Patch Available,NUTCH-857,12469658,,DistributedBeans should not close their RPC counterparts,musepwizard,musepwizard,Major,Closed,Fixed,19/Jul/10 20:59,26/Jul/10 11:57,19/Jul/10 00:00
Bug,Patch Available,NUTCH-780,12446191,,Nutch crawler did not read configuration files,,vushogerts,Major,Closed,Not A Problem,21/Jan/10 04:00,14/Jul/10 18:59,
Task,,NUTCH-853,12469261,,Remove unused parameter files from conf/ ,jnioche,jnioche,Major,Closed,Fixed,14/Jul/10 15:05,14/Jul/10 16:19,
Bug,Patch Available,NUTCH-850,12469079,,SolrDeleteDuplicates needs to clone the SolrRecord objects ,jnioche,jnioche,Major,Closed,Fixed,12/Jul/10 15:57,12/Jul/10 16:11,
Bug,,NUTCH-847,12468910,,Wrong version of SOLR in Ivy.xml,,jnioche,Major,Closed,Fixed,09/Jul/10 12:04,09/Jul/10 15:20,
Task,,NUTCH-846,12468898,,Remove Hadoop related scripts in /bin,,jnioche,Major,Closed,Not A Problem,09/Jul/10 08:06,09/Jul/10 15:17,
New Feature,,NUTCH-821,12464450,,Use ivy in nutch builds,enis,enis,Major,Closed,Fixed,13/May/10 18:05,07/Jul/10 09:26,
Task,Patch Available,NUTCH-836,12468240,,Remove deprecated parse plugins,jnioche,jnioche,Major,Closed,Fixed,30/Jun/10 11:30,04/Jul/10 04:23,
Task,,NUTCH-834,12467805,,Separate the Nutch web site from trunk,jnioche,jnioche,Major,Closed,Fixed,24/Jun/10 13:58,01/Jul/10 05:45,
Bug,,NUTCH-819,12464247,,Included Solr schema.xml and solrindex-mapping.xml don't play together,ab,ab,Major,Closed,Fixed,11/May/10 14:54,11/May/10 15:05,
Bug,,NUTCH-815,12463122,,Invalid blank line before If-Modified-Since HTTP header,ab,pascaldimassimo,Major,Closed,Fixed,27/Apr/10 16:02,27/Apr/10 18:07,
Bug,,NUTCH-814,12463094,,SegmentMerger bug,ab,musepwizard,Major,Closed,Fixed,27/Apr/10 10:45,27/Apr/10 15:24,
Task,,NUTCH-808,12461013,,Evaluate ORM Frameworks which support non-relational column-oriented datastores and RDBMs ,enis,enis,Major,Closed,Fixed,02/Apr/10 12:02,26/Apr/10 17:17,
Improvement,,NUTCH-810,12461227,,Upgrade to Tika 0.7,jnioche,jnioche,Major,Closed,Fixed,06/Apr/10 08:57,07/Apr/10 04:24,
Bug,Patch Available,NUTCH-785,12454950,,Fetcher : copy metadata from origin URL when redirecting + call scfilters.initialScore on newly created URL,jnioche,jnioche,Major,Closed,Fixed,01/Feb/10 16:51,30/Mar/10 08:36,
New Feature,Patch Available,NUTCH-784,12454920,,CrawlDBScanner ,jnioche,jnioche,Major,Closed,Fixed,01/Feb/10 14:32,30/Mar/10 04:15,
Bug,,NUTCH-800,12458301,,Generator builds a URL list that is not encoded,,hikeit,Major,Open,,05/Mar/10 22:00,29/Mar/10 20:59,
Improvement,,NUTCH-803,12459638,,Upgrade Hadoop to 0.20.2,ab,ab,Major,Closed,Fixed,19/Mar/10 11:40,20/Mar/10 04:11,
Improvement,Patch Available,NUTCH-799,12457747,,SOLRIndexer to commit once all reducers have finished,jnioche,jnioche,Major,Closed,Fixed,01/Mar/10 15:03,06/Mar/10 04:09,
New Feature,Patch Available,NUTCH-782,12454892,,Ability to order htmlparsefilters,jnioche,jnioche,Major,Closed,Fixed,01/Feb/10 11:41,02/Mar/10 04:09,
Bug,,NUTCH-719,12416753,,fetchQueues.totalSize incorrect in Fetcher2,jnioche,jnioche,Major,Closed,Fixed,12/Mar/09 14:41,23/Feb/10 08:49,
Improvement,Patch Available,NUTCH-786,12455423,,Better list of suffix domains,jnioche,jnioche,Major,Closed,Fixed,05/Feb/10 11:49,05/Feb/10 14:05,
Improvement,,NUTCH-781,12454883,,Update Tika to v0.6  for the MimeType detection,jnioche,jnioche,Major,Closed,Fixed,01/Feb/10 09:23,03/Feb/10 06:00,
Improvement,Patch Available,NUTCH-767,12441048,,Update Tika to v0.5  for the MimeType detection,ab,jnioche,Major,Closed,Fixed,18/Nov/09 14:56,12/Jan/10 04:47,
Bug,,NUTCH-755,12435903,,DomainURLFilter crashes on malformed URL,ab,mbaranczak,Major,Closed,Cannot Reproduce,17/Sep/09 02:39,29/Dec/09 22:30,
Improvement,,NUTCH-768,12441384,,Upgrade Nutch 1.0 to use Hadoop 0.20,musepwizard,musepwizard,Major,Closed,Fixed,21/Nov/09 23:38,19/Dec/09 05:14,24/Nov/09 00:00
Improvement,Patch Available,NUTCH-770,12441442,,Timebomb for Fetcher,ab,jnioche,Major,Closed,Fixed,23/Nov/09 11:23,05/Dec/09 16:50,
Improvement,Patch Available,NUTCH-712,12416301,,ParseOutputFormat should catch java.net.MalformedURLException coming from normalizers,ab,jnioche,Major,Closed,Fixed,06/Mar/09 11:57,29/Nov/09 04:08,
Bug,,NUTCH-739,12426549,,SolrDeleteDuplications too slow when using hadoop,ab,dmitry.lihachev,Major,Closed,Fixed,28/May/09 04:32,29/Nov/09 04:08,
Bug,Patch Available,NUTCH-746,12431475,,"NutchBeanConstructor does not close NutchBean upon contextDestroyed, causing resource leak in the container.",ab,kbohling,Major,Closed,Fixed,26/Jul/09 23:13,29/Nov/09 04:08,
Improvement,Patch Available,NUTCH-760,12438190,,Allow field mapping from nutch to solr index,ab,dstuart,Major,Closed,Fixed,15/Oct/09 10:43,28/Nov/09 14:08,
Improvement,,NUTCH-772,12441661,,Upgrade Nutch to use Lucene 2.9.1,ab,ab,Major,Closed,Fixed,25/Nov/09 12:36,28/Nov/09 14:08,
Improvement,,NUTCH-753,12435033,,Prevent new Fetcher to retrieve the robots twice,ab,jnioche,Major,Closed,Fixed,07/Sep/09 18:32,28/Nov/09 14:08,
Bug,,NUTCH-730,12419449,,NPE in LinkRank if no nodes with which to create the WebGraph,ab,musepwizard,Major,Closed,Fixed,26/Mar/09 03:13,10/Oct/09 04:45,26/Mar/09 00:00
Bug,Patch Available,NUTCH-707,12415857,,Generation of multiple segments in multiple runs returns only 1 segment,ab,dayzman,Major,Closed,Fixed,28/Feb/09 17:40,10/Oct/09 04:45,
Bug,,NUTCH-335,12346954,,Pdf summary corrupt issue,,siddharudh,Major,Closed,Won't Fix,31/Jul/06 14:35,09/Oct/09 15:47,
Bug,Patch Available,NUTCH-748,12433299,,DiskChecker  Could not find,,mwq1984,Major,Closed,Won't Fix,18/Aug/09 06:28,09/Oct/09 13:57,
Improvement,,NUTCH-702,12415582,,Lazy Instanciation of Metadata in CrawlDatum,,jnioche,Major,Closed,Fixed,25/Feb/09 13:05,19/Sep/09 07:20,
New Feature,,NUTCH-752,12434983,,how to index data from databse(ect oracle),,wwwfanger,Major,Closed,Invalid,07/Sep/09 09:46,10/Sep/09 07:56,
Bug,,NUTCH-721,12417088,,Fetcher2 Slow,dogacan,rogerd,Major,Closed,Fixed,17/Mar/09 20:29,25/Aug/09 05:46,
Bug,,NUTCH-749,12433688,,Fetching the url from crawldb,,salima,Major,Closed,Invalid,21/Aug/09 13:36,21/Aug/09 15:37,
Improvement,,NUTCH-663,12408991,,Upgrade Nutch to use Hadoop 0.19,musepwizard,musepwizard,Major,Closed,Fixed,21/Nov/08 10:17,02/Jun/09 05:37,24/Nov/08 00:00
Bug,,NUTCH-120,12318178,,"one ""bad"" link on a page kills parsing",,cahille,Major,Closed,Fixed,21/Oct/05 04:39,10/Apr/09 12:29,
Improvement,,NUTCH-357,12348373,,crawling simulation,ab,joa23,Major,Closed,Won't Fix,22/Aug/06 05:39,10/Apr/09 12:29,
New Feature,,NUTCH-392,12353968,,OutputFormat implementations should pass on Progressable,ab,cutting,Major,Closed,Fixed,25/Oct/06 17:42,10/Apr/09 12:29,
Bug,,NUTCH-503,12372096,,Generator exits incorrectly for small fetchlists ,dogacan,vishals,Major,Closed,Fixed,21/Jun/07 07:37,10/Apr/09 12:29,
Bug,,NUTCH-535,12375293,,ParseData's contentMeta accumulates unnecessary values during parse,dogacan,dogacan,Major,Closed,Fixed,03/Aug/07 12:50,10/Apr/09 12:29,
Bug,Patch Available,NUTCH-612,12388809,,URL filtering is always disabled in Generator when invoked by Crawl,ab,susam,Major,Closed,Fixed,15/Feb/08 19:49,10/Apr/09 12:29,
Bug,,NUTCH-487,12369843,,Neko HTML parser goes on default settings.,,okrasz,Major,Closed,Fixed,21/May/07 14:04,10/Apr/09 12:29,
Task,Patch Available,NUTCH-637,12400404,,Add method to nutch and tika system(Code written),,mbostwick,Major,Closed,Won't Fix,16/Jul/08 18:32,10/Apr/09 12:29,
New Feature,,NUTCH-452,12363852,,Nutch JSF/My Faces Search Frontend,ab,zaheed,Major,Closed,Incomplete,01/Mar/07 08:53,10/Apr/09 12:29,
Improvement,,NUTCH-530,12374895,,Add a combiner to improve performance on updatedb,jokeout,jokeout,Major,Closed,Won't Fix,29/Jul/07 08:32,10/Apr/09 12:29,
Improvement,,NUTCH-510,12373278,,IndexMerger delete working dir,dogacan,enis,Major,Closed,Fixed,09/Jul/07 06:35,10/Apr/09 12:29,
Bug,,NUTCH-561,12379054,,HttpClient plugin does not work with NTLM authentication,dogacan,alexisvotta,Major,Closed,Fixed,25/Sep/07 17:27,10/Apr/09 12:29,
New Feature,,NUTCH-74,12312391,,French Analyzer Plugin,jerome.charron,christophe.noel,Major,Closed,Fixed,19/Jul/05 21:30,10/Apr/09 12:29,
Bug,,NUTCH-645,12402593,,Parse-swf unit test failing,ab,ab,Major,Closed,Fixed,19/Aug/08 00:29,10/Apr/09 12:29,
Bug,,NUTCH-516,12373974,,Next fetch time is not set when it is a CrawlDatum.STATUS_FETCH_GONE,,jokeout,Major,Closed,Fixed,17/Jul/07 12:08,10/Apr/09 12:29,
Bug,,NUTCH-481,12369129,,http.content.limit is broken in the protocol-httpclient plugin,dogacan,mrbalky,Major,Closed,Fixed,11/May/07 18:23,10/Apr/09 12:29,
Bug,,NUTCH-723,12417275,,LICENCE.txt is lacking info that should be there,,siren,Major,Closed,Fixed,19/Mar/09 13:23,10/Apr/09 12:29,
Bug,,NUTCH-153,12327037,,"TextParser is only supposed to parse plain text, but if given postscript, it can take hours and then fail",,pbaclace,Major,Closed,Fixed,27/Dec/05 12:29,10/Apr/09 12:29,
Bug,,NUTCH-630,12395079,,Error caused by index-more plugin  in the latest svn revision - 652259 ,dogacan,ivrokv,Major,Closed,Duplicate,30/Apr/08 15:21,10/Apr/09 12:29,
Bug,Patch Available,NUTCH-715,12416493,,Subcollection plugin doesn't work with default subcollections.xml file,siren,dmitry.lihachev,Major,Closed,Fixed,10/Mar/09 05:54,10/Apr/09 12:29,
Improvement,Patch Available,NUTCH-634,12397868,,Patch - Nutch - Hadoop 0.17.1,ab,gottesmm,Major,Closed,Fixed,10/Jun/08 04:41,10/Apr/09 12:29,
Bug,,NUTCH-398,12354986,,map-reduce very slow when crawling on single server,ab,canovaj,Major,Closed,Cannot Reproduce,08/Nov/06 00:27,10/Apr/09 12:29,
New Feature,,NUTCH-439,12362093,,Top Level Domains Indexing / Scoring,enis,enis,Major,Closed,Fixed,06/Feb/07 13:33,10/Apr/09 12:29,
Improvement,,NUTCH-434,12361209,,Replace usage of ObjectWritable with something based on GenericWritable,dogacan,siren,Major,Closed,Fixed,24/Jan/07 20:21,10/Apr/09 12:29,
Bug,,NUTCH-220,12329703,,PDF Box can't parse document: java.lang.NullPointerException,ab,richbraman,Major,Closed,Fixed,03/Mar/06 10:25,10/Apr/09 12:29,
Improvement,Patch Available,NUTCH-691,12415012,,Update jakarta poi jars to the most relevant version,,dmitry.lihachev,Major,Closed,Fixed,18/Feb/09 04:31,10/Apr/09 12:29,
Bug,,NUTCH-382,12352817,,Fix for NUTCH-365 introduced a bug if generate.max.per.host.by.ip is enabled,,jimk,Major,Closed,Fixed,10/Oct/06 02:12,10/Apr/09 12:29,
Improvement,Patch Available,NUTCH-603,12387884,,Add more default url normalizations,musepwizard,musepwizard,Major,Closed,Fixed,05/Feb/08 16:58,10/Apr/09 12:29,08/Feb/08 00:00
New Feature,,NUTCH-82,12313425,,Nutch Commands should run on Windows without external tools,ab,ajbanck@informatica.com,Major,Closed,Won't Fix,16/Aug/05 03:21,10/Apr/09 12:29,
Bug,,NUTCH-545,12376622,,Configuration and OnlineClusterer get initialized in every request.,dogacan,dweiss,Major,Closed,Fixed,22/Aug/07 19:04,10/Apr/09 12:29,
Improvement,Patch Available,NUTCH-598,12385426,,"Remove deprecated use of ToolBase, Migration to the new implementation",ab,jokeout,Major,Closed,Fixed,02/Jan/08 08:53,10/Apr/09 12:29,
Bug,,NUTCH-636,12398858,,Http client plug-in https doesn't work on IBM JRE,ab,curtispd,Major,Closed,Fixed,23/Jun/08 19:10,10/Apr/09 12:29,
Improvement,,NUTCH-590,12384035,,Index multiple docs per call using IndexingFilter extension point,ab,npowell,Major,Closed,Won't Fix,06/Dec/07 00:59,10/Apr/09 12:29,
New Feature,,NUTCH-699,12415214,,"Add an ""official"" solr schema for solr integration",dogacan,dogacan,Major,Closed,Fixed,20/Feb/09 10:32,10/Apr/09 12:29,
Improvement,,NUTCH-611,12388502,,Upgrade Nutch to use Hadoop 0.16,musepwizard,musepwizard,Major,Closed,Fixed,13/Feb/08 02:01,10/Apr/09 12:29,13/Feb/08 00:00
Bug,,NUTCH-584,12383417,,urls missing from fetchlist,ab,mdocguard,Major,Closed,Fixed,28/Nov/07 15:57,10/Apr/09 12:29,
Bug,,NUTCH-508,12373238,,${hadoop.log.dir} and ${hadoop.log.file} are not propagated to the tasktracker,dogacan,jokeout,Major,Closed,Fixed,07/Jul/07 17:26,10/Apr/09 12:29,
Improvement,,NUTCH-534,12375030,,SegmentMerger: add -normalize option,ab,jokeout,Major,Closed,Fixed,31/Jul/07 10:34,10/Apr/09 12:29,
Improvement,,NUTCH-669,12410013,,Consolidate code for Fetcher and Fetcher2,siren,tlipcon,Major,Closed,Fixed,04/Dec/08 21:12,10/Apr/09 12:29,
Bug,,NUTCH-533,12374942,,LinkDbMerger: url normalized is not updated in the key and inlinks list,jokeout,jokeout,Major,Closed,Fixed,30/Jul/07 09:52,10/Apr/09 12:29,
Bug,,NUTCH-681,12412810,,parse-mp3 compilation problem,dogacan,wildan.m,Major,Closed,Fixed,20/Jan/09 08:17,10/Apr/09 12:29,
Improvement,,NUTCH-489,12369924,,URLFilter-suffix management of the url path when the url contains some query parameters,dogacan,jokeout,Major,Closed,Fixed,22/May/07 08:33,10/Apr/09 12:29,
Bug,,NUTCH-571,12381760,,parse-mp3 plugin doesn't always index album of mp3,,joe1chen,Major,Closed,Fixed,03/Nov/07 02:25,10/Apr/09 12:29,
Improvement,,NUTCH-661,12408352,,errors when the uri contains space characters ,dogacan,laiosch,Major,Closed,Won't Fix,12/Nov/08 17:15,10/Apr/09 12:29,
Improvement,,NUTCH-653,12404736,,Upgrade to hadoop 0.18,dogacan,dogacan,Major,Closed,Fixed,19/Sep/08 13:04,10/Apr/09 12:29,
Improvement,Patch Available,NUTCH-605,12388151,,Change deprecated configuration methods for Hadoop,musepwizard,musepwizard,Major,Closed,Fixed,08/Feb/08 01:07,10/Apr/09 12:29,11/Feb/08 00:00
New Feature,,NUTCH-61,12311076,,Adaptive re-fetch interval. Detecting umodified content,ab,ab,Major,Closed,Fixed,06/Jun/05 05:38,10/Apr/09 12:29,20/Jun/05 00:00
Improvement,,NUTCH-547,12377355,,Redirection handling: YahooSlurp's algorithm,dogacan,dogacan,Major,Closed,Fixed,03/Sep/07 07:46,10/Apr/09 12:29,
Wish,,NUTCH-155,12327073,,"Remove web gui from the distribution to ""contrib"" and use OpenSearch Servlet",,nutch.newbie,Major,Closed,Won't Fix,28/Dec/05 23:05,10/Apr/09 12:29,
Bug,,NUTCH-632,12396361,,Bug in TextParser with encoding,,adb,Major,Closed,Won't Fix,20/May/08 02:58,10/Apr/09 12:29,
Bug,,NUTCH-599,12385740,,nutch crawl and index problem,dogacan,jibjoice,Major,Closed,Won't Fix,08/Jan/08 01:46,10/Apr/09 12:29,
Bug,,NUTCH-726,12417278,,README.txt is lacking info that should be there,,siren,Major,Closed,Fixed,19/Mar/09 13:26,10/Apr/09 12:29,
Bug,,NUTCH-574,12382037,,Including inlink anchor text in index can create irrelevant search results.,musepwizard,musepwizard,Major,Closed,Fixed,07/Nov/07 19:44,10/Apr/09 12:29,
Bug,,NUTCH-504,12372194,,NUTCH-443 broke parsing during fetching,dogacan,dogacan,Major,Closed,Fixed,22/Jun/07 08:29,10/Apr/09 12:29,
Improvement,,NUTCH-662,12408989,,Upgrade Nutch to use Lucene 2.4,musepwizard,musepwizard,Major,Closed,Fixed,21/Nov/08 10:15,10/Apr/09 12:29,24/Nov/08 00:00
Bug,,NUTCH-529,12374757,,NodeWalker.skipChildren doesn't work for more than 1 child.,,jokeout,Major,Closed,Fixed,27/Jul/07 03:28,10/Apr/09 12:29,
Bug,Patch Available,NUTCH-616,12389601,,Reset Fetch Retry counter when fetch is successful,ab,jokeout,Major,Closed,Fixed,26/Feb/08 17:25,10/Apr/09 12:29,
Bug,Patch Available,NUTCH-643,12401993,,ClassCastException in PdfParser on encrypted PDF with empty password,ab,gsmet,Major,Closed,Fixed,08/Aug/08 13:48,10/Apr/09 12:29,
Bug,Patch Available,NUTCH-642,12401840,,Unit tests fail when run in non-local mode,ab,ab,Major,Closed,Fixed,06/Aug/08 23:07,10/Apr/09 12:29,
Bug,,NUTCH-126,12325795,,Fetching via https does not work with a proxy (patch),ab,felfert,Major,Closed,Fixed,18/Nov/05 18:12,10/Apr/09 12:29,
Bug,,NUTCH-474,12367940,,Fetcher2 sets server-delay and blocking checks incorrectly,ab,dogacan,Major,Closed,Fixed,24/Apr/07 14:09,10/Apr/09 12:29,
Bug,,NUTCH-532,12374933,,CrawlDbMerger: wrong computation of last fetch time,jokeout,jokeout,Major,Closed,Fixed,30/Jul/07 08:59,10/Apr/09 12:29,
Bug,,NUTCH-497,12371089,,Extreme Nested Tags causes StackOverflowException in DomContentUtils...Spider Trap,musepwizard,musepwizard,Major,Closed,Fixed,06/Jun/07 23:33,10/Apr/09 12:29,29/Jun/07 00:00
Bug,Patch Available,NUTCH-615,12389594,,Redirected URL are fetched wihtout setting any FetchInterval,ab,jokeout,Major,Closed,Fixed,26/Feb/08 14:29,10/Apr/09 12:29,
Bug,,NUTCH-592,12384725,,Fetcher2 : NPE for page with status ProtocolStatus.TEMP_MOVED,ab,jokeout,Major,Closed,Duplicate,16/Dec/07 15:22,10/Apr/09 12:29,
Bug,,NUTCH-413,12358070,,Fetcher ignores -noParsing command line option,,jonathan_amir,Major,Closed,Fixed,07/Dec/06 23:10,10/Apr/09 12:29,
Improvement,,NUTCH-279,12343346,,Additions for regex-normalize,ab,neufeind,Major,Closed,Fixed,22/May/06 20:09,10/Apr/09 12:29,
New Feature,,NUTCH-586,12383609,,Add option to run compiled classes w/o job file,ab,enis,Major,Closed,Fixed,30/Nov/07 10:35,10/Apr/09 12:29,
Bug,,NUTCH-701,12415461,,Replace Fetcher with Fetcher2,siren,siren,Major,Closed,Duplicate,24/Feb/09 10:06,10/Apr/09 12:29,
Bug,,NUTCH-393,12354106,,Indexer doesn't handle null documents returned by filters,ab,eelco,Major,Closed,Fixed,27/Oct/06 07:16,10/Apr/09 12:29,
Bug,,NUTCH-682,12413549,,SOLR indexer does not set boost on the document,,jnioche,Major,Closed,Fixed,29/Jan/09 18:53,10/Apr/09 12:29,
Bug,,NUTCH-517,12374055,,build encoding should be UTF-8,dogacan,enis,Major,Closed,Fixed,18/Jul/07 08:08,10/Apr/09 12:29,
Bug,,NUTCH-491,12370077,,dedup fails with ArrayIndexOutOfBoundsException,dogacan,niqueco,Major,Closed,Duplicate,23/May/07 16:51,10/Apr/09 12:29,
Bug,Patch Available,NUTCH-671,12410342,,JSP errors in Nutch searcher webapp running with Tomcat 6,,edwincheese,Major,Closed,Fixed,10/Dec/08 07:13,10/Apr/09 12:29,
Bug,,NUTCH-727,12417280,,Add KEYS file to release artifact,,siren,Major,Closed,Fixed,19/Mar/09 13:37,10/Apr/09 12:29,
Bug,,NUTCH-507,12373237,,lib-lucene-analyzers jar defintion is wrong in plugin.xml,dogacan,jokeout,Major,Closed,Fixed,07/Jul/07 17:17,10/Apr/09 12:29,
Bug,,NUTCH-550,12377738,,Parse fails if db.max.outlinks.per.page is -1,dogacan,dogacan,Major,Closed,Fixed,07/Sep/07 08:28,10/Apr/09 12:29,
Improvement,,NUTCH-565,12379917,,Arc File to Nutch Segments Converter,musepwizard,musepwizard,Major,Closed,Fixed,09/Oct/07 05:07,10/Apr/09 12:29,
Bug,,NUTCH-525,12374425,,DeleteDuplicates generates ArrayIndexOutOfBoundsException when trying to rerun dedup on a segment,,vishals,Major,Closed,Fixed,24/Jul/07 07:41,10/Apr/09 12:29,
Bug,Patch Available,NUTCH-695,12415126,,incorrect mime type detection by MoreIndexingFilter plugin,siren,dmitry.lihachev,Major,Closed,Fixed,19/Feb/09 10:04,10/Apr/09 12:29,
Improvement,,NUTCH-587,12383836,,Upgrade Nutch to use Hadoop 0.15.3 release,musepwizard,musepwizard,Major,Closed,Fixed,03/Dec/07 23:34,10/Apr/09 12:29,07/Dec/07 00:00
Improvement,,NUTCH-526,12374511,,Use a combiner in LinDbMerger to improve the performance as in LinkDb,jokeout,jokeout,Major,Closed,Won't Fix,25/Jul/07 02:23,10/Apr/09 12:29,
Improvement,,NUTCH-485,12369173,,Change HtmlParseFilter 's to return ParseResult object instead of Parse object,dogacan,gnitzan,Major,Closed,Fixed,12/May/07 19:50,10/Apr/09 12:29,
